produto_id,nome,score,qualidade,valor,risco,aderencia,conveniencia,status,motivos,alertas,fonte,confianca,idade_dias,cotacao_vencida,eixos_sem_dado,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total
samsung-galaxy-fit3,Samsung Galaxy Fit3,70.0,1.0,0.615,0.38,0.667,0.5,elegivel,,,manual,0.9,16,sim,conveniencia,275.0,0.0,,0.0,275.0
redmi-watch-5-lite,Redmi Watch 5 Lite,69.0,1.0,0.565,0.38,0.5,0.5,elegivel,,,manual,0.75,16,sim,conveniencia; aderencia,298.86,0.0,,0.0,298.86
xiaomi-smart-band-9-active,Xiaomi Smart Band 9 Active,67.6,0.493,1.0,0.607,0.667,0.571,elegivel,,,manual,1.0,17,sim,,169.0,0.0,,0.0,169.0
huawei-band-11,Huawei Band 11,65.9,0.74,0.786,0.38,0.5,0.5,elegivel,,,manual,0.75,16,sim,conveniencia; aderencia,214.95,0.0,,0.0,214.95
huawei-band-10,Huawei Band 10,0,0.383,0.849,0.359,0.5,0.5,cortado,avaliacoes insuficientes (2 < 20),AVAL_SUSPEITA,web,0.75,16,sim,conveniencia; aderencia,199.0,0.0,,0.0,199.0
huawei-band-11-pro,Huawei Band 11 Pro,0,0.0,0.457,0.38,0.5,0.5,cortado,custo_total acima do preco_teto do briefing (369.55 > 300.0); nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20),,manual,0.45,16,sim,qualidade; conveniencia; aderencia,369.55,0.0,,0.0,369.55
huawei-band-9,Huawei Band 9,0,0.0,0.581,0.38,0.667,0.5,cortado,"produto descartado (Preco so tem fonte web instavel (mesmo anuncio variou entre R$239,88 e R$312 em relatorios diferentes no mesmo periodo) e o produto aparece esgotado nas lojas onde foi possivel verificar de verdade (KaBuM). Sem cotacao manual confiavel, nao serve pra decisao.); nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20)",,web,0.6,16,sim,qualidade; conveniencia,290.99,0.0,,0.0,290.99
