produto_id,nome,score,qualidade,valor,risco,aderencia,conveniencia,status,motivos,alertas,fonte,confianca,idade_dias,cotacao_vencida,eixos_sem_dado,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total
cema-sp-tipo-i,Polissonografia Tipo I - Hospital CEMA SP,73.1,0.0,1.0,0.395,0.5,,elegivel,,,web,0.5,6,nao,qualidade; conveniencia; aderencia,800.0,0.0,,0.0,800.0
instituto-sono-ata-tipo-i,Polissonografia Tipo I - Instituto do Sono Aracatuba,69.8,0.0,0.941,0.395,0.5,,elegivel,,,web,0.5,6,nao,qualidade; conveniencia; aderencia,850.0,0.0,,0.0,850.0
fleury-sp-tipo-i,Polissonografia Tipo I - Fleury SP,54.6,0.0,0.667,0.395,0.5,,elegivel,,,web,0.5,6,nao,qualidade; conveniencia; aderencia,1200.0,0.0,,0.0,1200.0
instituto-sono-sp-tipo-i,Polissonografia Tipo I - Instituto do Sono SP,43.7,0.0,0.471,0.395,0.5,,elegivel,,,manual,0.5,6,nao,qualidade; conveniencia; aderencia,1700.0,0.0,,0.0,1700.0
clinica-fontanelli-ata-tipo-iii,Polissonografia Domiciliar Tipo III - Clinica Fontanelli Aracatuba,0,0.0,1.0,0.395,0.5,,cortado,produto descartado (descartado: usuario determinou realizar exclusivamente Polissonografia Tipo I (laboratorio completo); Tipo III descartada),,web,0.5,6,nao,qualidade; conveniencia; aderencia,550.0,0.0,,0.0,550.0
delboni-sp-tipo-iii,Polissonografia Domiciliar Tipo III - Delboni Auriemo SP,0,0.0,1.0,0.395,0.5,,cortado,produto descartado (descartado: usuario determinou realizar exclusivamente Polissonografia Tipo I (laboratorio completo); Tipo III descartada),,web,0.5,6,nao,qualidade; conveniencia; aderencia,480.0,0.0,,0.0,480.0
