data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score,estoque,proveniencia
2026-09-21T13:08:17,ppa-f10-r,Casa do Motor Eletronico,Casa do Motor Eletronico,terceiro,,,251.84,,0.0,,0.0,251.84,0.0,,0.0,251.84,0.0,0,,,nenhuma,https://www.casadomotoreletronico.com.br/produtos/fotocelula-refletiva-f10-r-ppa/,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:08:17"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-21T13:08:17"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-21T13:08:17"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-21T13:08:17"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-21T13:08:17"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}}"
2026-09-21T13:08:18,ppa-f10-r,Shop Gilson,Shop Gilson,terceiro,,,255.53,,0.0,,0.0,255.53,0.0,,0.0,255.53,0.0,0,,,nenhuma,https://www.shopgilson.com/fotocelula-refletiva-f10r-ppa/prod-9829631/,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:08:18"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09: a vista ou 8x R$ 38,71; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-21T13:08:18"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09: a vista ou 8x R$ 38,71; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-21T13:08:18"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09: a vista ou 8x R$ 38,71; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-21T13:08:18"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09: a vista ou 8x R$ 38,71; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-21T13:08:18"", ""estado"": ""conferido"", ""evidencia"": ""busca web 21/09: a vista ou 8x R$ 38,71; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}}"
2026-09-21T13:41:38,ppa-f10-r,Amazon,[nao verificado],terceiro,,,278.0,,0.0,,0.0,278.0,0.0,,0.0,278.0,5.0,2,4.306,,nenhuma,https://www.amazon.com.br/dp/B081DB69L7,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:41:38"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B081DB69L7)"", ""origem"": ""observacao_direta""}, ""garantia"": {""data"": ""2026-09-21T13:41:38"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B081DB69L7)"", ""origem"": ""observacao_direta""}, ""preco"": {""data"": ""2026-09-21T13:41:38"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B081DB69L7)"", ""origem"": ""observacao_direta""}, ""variacao"": {""data"": ""2026-09-21T13:41:38"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B081DB69L7)"", ""origem"": ""observacao_direta""}, ""vendedor"": {""data"": ""2026-09-21T13:41:38"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B081DB69L7)"", ""origem"": ""observacao_direta""}}"
