data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score
2026-09-04T11:34:06,pulseira-silicone-travaclique,Amazon,Generic,terceiro,,,27.99,,0.0,,0.0,27.99,0.0,,0.0,27.99,4.5,146,4.374,,nenhuma,https://www.amazon.com.br/dp/B0CYX7WY14,,web,coleta,
2026-09-04T11:34:07,pulseira-silicone-xdfind,Amazon,xDfind,terceiro,,,18.76,,0.0,,0.0,18.76,0.0,,0.0,18.76,3.4,13,4.256,,nenhuma,https://www.amazon.com.br/Pulseira-silicone-Huawei-xDfind-reversa/dp/B0G2QT13K3,,web,coleta,
2026-09-04T11:34:07,pulseira-nylon,Amazon,AWADUO,terceiro,,,97.19,,0.0,,0.0,97.19,0.0,,0.0,97.19,0.0,0,,,nenhuma,https://www.amazon.com.br/AWADUO-Compat%C3%ADvel-substitui%C3%A7%C3%A3o-pulseira-Silicone/dp/B0F1CSXHC7,,web,coleta,
2026-09-04T11:34:07,pulseira-aco-inox,Amazon,NOOETAH,terceiro,,,110.16,,0.0,,0.0,110.16,0.0,,0.0,110.16,4.0,1,4.299,,nenhuma,https://www.amazon.com.br/NOOETAH-Pulseira-substitui%C3%A7%C3%A3o-inoxid%C3%A1vel-compat%C3%ADvel/dp/B0D873F178,,web,coleta,
