produto_id,nome,score,qualidade,valor,risco,aderencia,conveniencia,status,motivos,alertas,fonte,confianca,idade_dias,cotacao_vencida,eixos_sem_dado,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total
pulseira-aco-inox,Pulseira Aco Inoxidavel Band 9/8,0,0.374,0.17,0.38,0.5,0.5,cortado,produto descartado (necessidade encerrada pelo usuario em 2026-09-15; compra nao e mais necessaria); custo_total acima do preco_teto do briefing (110.16 > 60.0); avaliacoes insuficientes (1 < 20),,web,0.75,17,sim,conveniencia; aderencia,110.16,0.0,,0.0,110.16
pulseira-nylon,Pulseira Nylon Compativel Band 9/8,0,0.0,0.193,0.38,0.5,0.5,cortado,produto descartado (necessidade encerrada pelo usuario em 2026-09-15; compra nao e mais necessaria); custo_total acima do preco_teto do briefing (97.19 > 60.0); nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20),,web,0.45,17,sim,qualidade; conveniencia; aderencia,97.19,0.0,,0.0,97.19
pulseira-silicone-travaclique,Pulseira Silicone Trava-Clique (Generic),0,0.467,0.67,0.38,0.5,0.5,cortado,produto descartado (necessidade encerrada pelo usuario em 2026-09-15; compra nao e mais necessaria),,web,0.75,17,sim,conveniencia; aderencia,27.99,0.0,,0.0,27.99
pulseira-silicone-xdfind,Pulseira Silicone Fivela Reversa (xDfind),0,0.32,1.0,0.38,0.5,0.5,cortado,produto descartado (necessidade encerrada pelo usuario em 2026-09-15; compra nao e mais necessaria); avaliacoes insuficientes (13 < 20),,web,0.75,17,sim,conveniencia; aderencia,18.76,0.0,,0.0,18.76
