produto_id,nome,score,qualidade,valor,risco,aderencia,conveniencia,status,motivos,alertas,fonte,confianca,idade_dias,cotacao_vencida,eixos_sem_dado,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total
adaptador-pm-pm-180mm,Adaptador Dianteiro Post Mount 180mm SM-MA-F180P/P2,0,0.0,1.0,0.833,0.5,0.5,cortado,produto descartado (Incompativel com o garfo: garfo da Gonew Endorphine 6.3 usa fixacao IS Mount e requer SM-MA-F180P/S); nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20),,web,0.45,0,nao,qualidade; conveniencia; aderencia,59.9,0.0,,0.0,59.9
shimano-sm-ma-f180p-s,Shimano SM-MA-F180P/S Adaptador IS para Post Mount 180mm Dianteiro,0,0.0,0.923,0.867,0.5,0.5,cortado,nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20),,web,0.45,0,nao,qualidade; conveniencia; aderencia,64.9,0.0,,0.0,64.9
