data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score,estoque,proveniencia
2026-09-06T19:22:05,mobis-81320-1s021,Mercado Livre,Autopeças Especializadas Hyundai,terceiro,,,370.3,,0.0,,0.0,370.3,0.0,,0.0,370.3,4.9,300,4.627,6,nacional,https://www.mercadolivre.com.br/fechadura-dianteira-direita-hyundai-hb20-20132019-original/up/MLBU4286586684,,web,coleta,,,
2026-09-06T19:22:08,universal-15640,Mercado Livre,Distribuidora Universal Autopeças,terceiro,,,215.0,,0.0,,0.0,215.0,0.0,,0.0,215.0,4.7,85,4.401,6,nacional,https://www.mercadolivre.com.br/fechadura-interna-da-porta-hb20-eletrica-dianteira-ld/up/MLBU3714252635,,web,coleta,,,
2026-09-15T00:00:00,universal-15640,Mercado Livre,,terceiro,,,250.0,,0.0,,0.0,250.0,0.0,,0.0,250.0,0.0,0,,,nenhuma,,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-15T00:00:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: faixa R-400 em marketplaces"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-15T00:00:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: faixa R-400 em marketplaces"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-15T00:00:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: faixa R-400 em marketplaces"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-15T00:00:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: faixa R-400 em marketplaces"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-15T00:00:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: faixa R-400 em marketplaces"", ""origem"": ""relatorio_ia""}}"
2026-09-15T10:35:00,mobis-81320-1s021,Mercado Livre,,terceiro,,,350.0,,0.0,,0.0,350.0,0.0,,0.0,350.0,0.0,0,,,nenhuma,,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-15T10:35:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: genuina nova R-460 em marketplaces, R-770 em concessionaria"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-15T10:35:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: genuina nova R-460 em marketplaces, R-770 em concessionaria"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-15T10:35:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: genuina nova R-460 em marketplaces, R-770 em concessionaria"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-15T10:35:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: genuina nova R-460 em marketplaces, R-770 em concessionaria"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-15T10:35:00"", ""estado"": ""conferido"", ""evidencia"": ""Pesquisa web 2026-09-15: genuina nova R-460 em marketplaces, R-770 em concessionaria"", ""origem"": ""relatorio_ia""}}"
2026-09-15T17:53:00,universal-15640,Mercado Livre,ml pecas,terceiro,,,219.1,,0.0,1,0.0,219.1,0.0,,0.0,219.1,4.7,85,4.401,3,nacional,https://www.mercadolivre.com.br/fechadura-eletrica-porta-dianteira-direita-hb20-2012-a-2019/up/MLBU3430682983,,manual,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-15T17:53:00"", ""estado"": ""conferido"", ""evidencia"": ""Compra realizada no Mercado Livre pelo Josemar em 2026-09-15: R$ 219,10 em 6x sem juros, frete gratis Full chega amanha, vendedor ml pecas"", ""origem"": ""conferencia_humana""}, ""garantia"": {""data"": ""2026-09-15T17:53:00"", ""estado"": ""conferido"", ""evidencia"": ""Compra realizada no Mercado Livre pelo Josemar em 2026-09-15: R$ 219,10 em 6x sem juros, frete gratis Full chega amanha, vendedor ml pecas"", ""origem"": ""conferencia_humana""}, ""preco"": {""data"": ""2026-09-15T17:53:00"", ""estado"": ""conferido"", ""evidencia"": ""Compra realizada no Mercado Livre pelo Josemar em 2026-09-15: R$ 219,10 em 6x sem juros, frete gratis Full chega amanha, vendedor ml pecas"", ""origem"": ""conferencia_humana""}, ""variacao"": {""data"": ""2026-09-15T17:53:00"", ""estado"": ""conferido"", ""evidencia"": ""Compra realizada no Mercado Livre pelo Josemar em 2026-09-15: R$ 219,10 em 6x sem juros, frete gratis Full chega amanha, vendedor ml pecas"", ""origem"": ""conferencia_humana""}, ""vendedor"": {""data"": ""2026-09-15T17:53:00"", ""estado"": ""conferido"", ""evidencia"": ""Compra realizada no Mercado Livre pelo Josemar em 2026-09-15: R$ 219,10 em 6x sem juros, frete gratis Full chega amanha, vendedor ml pecas"", ""origem"": ""conferencia_humana""}}"
