data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score,estoque,proveniencia
2026-09-21T13:08:22,apc-back-ups-700va-bivolt,KaBuM,KaBuM,terceiro,,,597.55,,0.0,,0.0,597.55,0.0,,0.0,597.55,0.0,0,,,nenhuma,https://www.buscape.com.br/search?q=nobreak%20bivolt%20saida%20115v%20700va,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:08:22"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; autonomia, frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-21T13:08:22"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; autonomia, frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-21T13:08:22"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; autonomia, frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-21T13:08:22"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; autonomia, frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-21T13:08:22"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; autonomia, frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}}"
2026-09-21T13:08:23,sms-tech-700va-bivolt,KaBuM,KaBuM,terceiro,,,659.6,,0.0,,0.0,659.6,0.0,,0.0,659.6,0.0,0,,,nenhuma,https://www.buscape.com.br/search?q=nobreak%20bivolt%20saida%20115v%20700va,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:08:23"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-21T13:08:23"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-21T13:08:23"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-21T13:08:23"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-21T13:08:23"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}}"
2026-09-21T13:08:24,ts-shara-ups-mini-700va-bivolt,Magazine Luiza,Magazine Luiza [VERIFICAR se e loja ou parceiro],terceiro,,,635.55,,0.0,,0.0,635.55,0.0,,0.0,635.55,0.0,0,,,nenhuma,https://www.buscape.com.br/search?q=nobreak%20bivolt%20saida%20115v%20700va,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:08:24"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""garantia"": {""data"": ""2026-09-21T13:08:24"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""preco"": {""data"": ""2026-09-21T13:08:24"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""variacao"": {""data"": ""2026-09-21T13:08:24"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}, ""vendedor"": {""data"": ""2026-09-21T13:08:24"", ""estado"": ""conferido"", ""evidencia"": ""Buscape 21/09; frete e estoque NAO verificados"", ""origem"": ""relatorio_ia""}}"
2026-09-21T13:41:40,intelbras-attiv-700va,Amazon,Uai Express,terceiro,,,563.0,,19.52,14,0.0,582.52,0.0,,0.0,582.52,4.4,365,4.359,,nenhuma,https://www.amazon.com.br/dp/B08YC6HTNQ,,web,coleta,,disponivel,"{""estoque"": {""data"": ""2026-09-21T13:41:40"", ""estado"": ""conferido"", ""evidencia"": ""pagina Amazon B08YC6HTNQ 21/09: somente 1 em estoque; entrega 1-5/out"", ""origem"": ""observacao_direta""}, ""frete"": {""data"": ""2026-09-21T13:41:40"", ""estado"": ""conferido"", ""evidencia"": ""pagina Amazon B08YC6HTNQ 21/09: somente 1 em estoque; entrega 1-5/out"", ""origem"": ""observacao_direta""}, ""garantia"": {""data"": ""2026-09-21T13:41:40"", ""estado"": ""conferido"", ""evidencia"": ""pagina Amazon B08YC6HTNQ 21/09: somente 1 em estoque; entrega 1-5/out"", ""origem"": ""observacao_direta""}, ""preco"": {""data"": ""2026-09-21T13:41:40"", ""estado"": ""conferido"", ""evidencia"": ""pagina Amazon B08YC6HTNQ 21/09: somente 1 em estoque; entrega 1-5/out"", ""origem"": ""observacao_direta""}, ""variacao"": {""data"": ""2026-09-21T13:41:40"", ""estado"": ""conferido"", ""evidencia"": ""pagina Amazon B08YC6HTNQ 21/09: somente 1 em estoque; entrega 1-5/out"", ""origem"": ""observacao_direta""}, ""vendedor"": {""data"": ""2026-09-21T13:41:40"", ""estado"": ""conferido"", ""evidencia"": ""pagina Amazon B08YC6HTNQ 21/09: somente 1 em estoque; entrega 1-5/out"", ""origem"": ""observacao_direta""}}"
2026-09-21T13:41:41,ts-shara-ups-mini-700va-bivolt,Amazon,[nao verificado],terceiro,,bateria 1x 5Ah (menor que 7Ah),409.0,,0.0,,0.0,409.0,0.0,,0.0,409.0,4.2,48,4.284,,nenhuma,https://www.amazon.com.br/dp/B0CMVSMRSB,,web,coleta,,,"{""estoque"": {""data"": null, ""estado"": ""nao_conferido"", ""evidencia"": """", ""origem"": ""legado_sem_evidencia""}, ""frete"": {""data"": ""2026-09-21T13:41:41"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B0CMVSMRSB)"", ""origem"": ""observacao_direta""}, ""garantia"": {""data"": ""2026-09-21T13:41:41"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B0CMVSMRSB)"", ""origem"": ""observacao_direta""}, ""preco"": {""data"": ""2026-09-21T13:41:41"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B0CMVSMRSB)"", ""origem"": ""observacao_direta""}, ""variacao"": {""data"": ""2026-09-21T13:41:41"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B0CMVSMRSB)"", ""origem"": ""observacao_direta""}, ""vendedor"": {""data"": ""2026-09-21T13:41:41"", ""estado"": ""conferido"", ""evidencia"": ""busca Amazon 21/09 (B0CMVSMRSB)"", ""origem"": ""observacao_direta""}}"
