produto_id,nome,score,qualidade,valor,risco,aderencia,conveniencia,status,motivos,alertas,fonte,confianca,idade_dias,cotacao_vencida,eixos_sem_dado,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total
ts-shara-ups-mini-700va-bivolt,Nobreak TS Shara UPS Mini 700VA bivolt 6 tomadas saida 115V,57.7,0.355,1.0,0.38,0.5,0.5,elegivel,,,web,0.75,0,nao,conveniencia; aderencia,409.0,0.0,,0.0,409.0
intelbras-attiv-700va,Nobreak Intelbras ATTIV 700VA bivolt,52.2,0.449,0.702,0.38,0.5,0.571,elegivel,,,web,0.85,0,nao,aderencia,582.52,0.0,,0.0,582.52
apc-back-ups-700va-bivolt,Nobreak APC Back-UPS 700VA bivolt saida 115V,0,0.0,0.684,0.335,0.5,0.5,cortado,nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20),,web,0.45,0,nao,qualidade; conveniencia; aderencia,597.55,0.0,,0.0,597.55
sms-tech-700va-bivolt,Nobreak SMS Tech 700VA interativo bivolt saida 115V,0,0.0,0.62,0.335,0.5,0.5,cortado,nota_ajustada abaixo do gate (0.0 < 4.0); avaliacoes insuficientes (0 < 20),,web,0.45,0,nao,qualidade; conveniencia; aderencia,659.6,0.0,,0.0,659.6
