data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score
2026-08-27T10:25:29,decor-bloqueador,Loja Decor Colors,Decor Colors,oficial,,12 kg,379.99,,0.0,,0.0,379.99,0.0,,0.0,379.99,0.0,0,,,nenhuma,https://loja.decorcolors.com.br/impermeabilizante-block-total-decor-colors/p,,web,coleta,
2026-08-27T16:43:24,vedapren-parede-36,Joli Materiais de Construcao,Joli,oficial,,"15 m2 = 2 galoes de 3,6 kg (3 demaos)",193.8,,0.0,,0.0,193.8,0.0,,0.0,193.8,0.0,0,,,nenhuma,https://www.joli.com.br/vedapren-parede-branco-3-6kg-vedacit/p,,web,coleta,
2026-08-27T16:43:25,igolflex-fachada-36,Redemac,Redemac,oficial,,"15 m2 = 1 galao de 3,6 L / 4,7 kg (2 demaos)",69.89,,0.0,,0.0,69.89,0.0,,0.0,69.89,0.0,0,,,nenhuma,https://redemac.com.br/loja/sika-igolflex-fachada-branco-36l/,,web,coleta,
2026-08-27T16:43:25,decor-bloqueador,Loja Decor Colors,Decor Colors,oficial,,15 m2 = 3 embalagens de 12 kg,1139.97,,0.0,,0.0,1139.97,0.0,,0.0,1139.97,0.0,0,,,nenhuma,https://loja.decorcolors.com.br/impermeabilizante-block-total-decor-colors/p,,web,coleta,
2026-08-27T16:44:18,vedapren-parede-36,Tosel Materiais de Construcao,Tosel,oficial,,"15 m2 = 2 galoes de 3,6 kg (3 demaos)",202.4,,0.0,,0.0,202.4,0.0,,0.0,202.4,0.0,0,,,nenhuma,https://www.tosel.com.br/vedapren-parede-3-600-litros-branco/p,,web,coleta,
2026-08-27T16:44:49,igolflex-fachada-36,Casa Falci,Casa Falci,oficial,,"15 m2 = 1 lata de 4,7 kg (2 demaos) - SEM ESTOQUE",145.9,,0.0,,0.0,145.9,0.0,,0.0,145.9,0.0,0,,,nenhuma,https://www.casafalci.com.br/produtos/igolflex-fachada-47kg19379/,,web,coleta,
2026-08-27T23:03:40,viaplus-1000,Elos Cimento,Elos,oficial,,"15 m2 = 3 caixas de 18 kg (regime umidade do solo, 3 kg/m2)",192.9,,0.0,,0.0,192.9,0.0,,0.0,192.9,4.9,67,4.427,,nenhuma,https://www.eloscimento.com.br/basico/impermeabilizantes/viaplus-1000-caixa-18kg-viapol/,,web,coleta,
2026-08-27T23:03:40,viaplus-1000,LPK Home Center,LPK,oficial,,15 m2 = 3 caixas de 18 kg (preco conservador do spread),359.97,,0.0,,0.0,359.97,0.0,,0.0,359.97,4.9,67,4.427,,nenhuma,https://lpkhomecenter.com/produtos/viaplus-1000-18kg-viapol/,,web,coleta,
2026-08-27T23:03:40,sikatop-107,Superpro Atacado,Superpro,oficial,,15 m2 = 3 caixas de 18 kg (6 m2 por caixa em 3 demaos),779.7,,0.0,,0.0,779.7,0.0,,0.0,779.7,0.0,0,,,nenhuma,https://www.superproatacado.com.br/sikatop-107-revestimento-impermeabilizante-18kg-sika-18759/p,,web,coleta,
