data_coleta,produto_id,loja,vendedor,vendedor_tipo,anuncio_id,variacao,preco,preco_promocional,frete_valor,frete_prazo_dias,custo_extra,custo_total,custo_operacional_mensal,tco_meses,valor_revenda_estimado,tco_total,nota,n_avaliacoes,nota_ajustada,garantia_meses,garantia_tipo,link,flag_suspeita,fonte,confirmacao,score
2026-09-06T19:22:05,mobis-81320-1s021,Mercado Livre,Autopeças Especializadas Hyundai,terceiro,,,370.3,,0.0,,0.0,370.3,0.0,,0.0,370.3,4.9,300,4.627,6,nacional,https://www.mercadolivre.com.br/fechadura-dianteira-direita-hyundai-hb20-20132019-original/up/MLBU4286586684,,web,coleta,
2026-09-06T19:22:08,universal-15640,Mercado Livre,Distribuidora Universal Autopeças,terceiro,,,215.0,,0.0,,0.0,215.0,0.0,,0.0,215.0,4.7,85,4.401,6,nacional,https://www.mercadolivre.com.br/fechadura-interna-da-porta-hb20-eletrica-dianteira-ld/up/MLBU3714252635,,web,coleta,
